name,date,time,venue_name,genre,segment,url,image
& Julia,2026-04-11,15:00:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/1934936945,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Mette Ingvartsen - SKATEPARK,2026-04-11,15:00:00,Dansens Hus - Stora Scen,Dance,Arts & Theatre,https://www.ticketmaster.se/event/mette-ingvartsen-skatepark-biljetter/1220502374,https://s1.ticketm.net/dam/a/fbe/c50494b8-a4a8-4032-bce6-81dec0709fbe_CUSTOM.jpg
Bo Kaspers Orkester - Il magnifico,2026-04-11,16:00:00,Göta Lejon,Spectacular,Arts & Theatre,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/11079025,https://s1.ticketm.net/dam/e/502/dd7417c8-5d96-4264-a80b-046178a11502_RECOMENDATION_16_9.jpg
Labero's Magic World,2026-04-11,18:00:00,La Botanica,Food & Drink,Miscellaneous,https://www.ticketmaster.se/event/laberos-magic-world-biljetter/1146839620,https://s1.ticketm.net/dam/a/f00/7a24bdb3-8f78-408b-85aa-125463437f00_TABLET_LANDSCAPE_3_2.jpg
Svartklubben - Mat & Musik i Mörker,2026-04-11,18:00:00,Svartklubben,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1691927462,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
MAMMA MIA! THE PARTY,2026-04-11,19:30:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1212197324,https://s1.ticketm.net/dam/e/d78/e055a3c6-df72-44c6-9c2a-adff8b7bcd78_CUSTOM.jpg
Bo Kaspers Orkester - Il magnifico,2026-04-11,19:30:00,Göta Lejon,Rock,Music,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/873198548,https://s1.ticketm.net/dam/e/9f5/189e04cc-d86d-4ec2-9802-631f2227e9f5_TABLET_LANDSCAPE_3_2.jpg
& Julia,2026-04-11,19:30:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/679677459,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
MAFFIA COMEDY SUPERWEEKEND med Viktor Engberg,2026-04-11,20:00:00,Clarion Hotel Sign,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-viktor-engberg-biljetter/1110209384,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
& Julia,2026-04-12,15:00:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/1787576527,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Ichiko Aoba,2026-04-12,19:30:00,Göta Lejon,Blues,Music,https://www.ticketmaster.se/event/ichiko-aoba-biljetter/83301572,https://s1.ticketm.net/dam/e/c01/983eea98-05d6-4ad4-b655-b4919c6e1c01_TABLET_LANDSCAPE_16_9.jpg
WITCH FEVER,2026-04-12,19:40:00,Debaser Nova,Other,Music,https://www.ticketmaster.se/event/witch-fever-biljetter/22303485,https://s1.ticketm.net/dam/a/76b/4791cbda-188d-4a39-827c-9cf937f4d76b_TABLET_LANDSCAPE_LARGE_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-04-14,18:00:00,Svartklubben,Food & Drink,Miscellaneous,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/848343612,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Eric Idle,2026-04-14,19:00:00,Cirkus,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/eric-idle-always-look-on-the-bright-side-of-life-live-biljetter/484094845,https://s1.ticketm.net/dam/e/d88/0cbf49c5-f18e-4a38-ae44-0dcf61442d88_RECOMENDATION_16_9.jpg
40 Fingers,2026-04-15,19:30:00,Göta Lejon,Rock,Music,https://www.ticketmaster.se/event/40-fingers-biljetter/1024317677,https://s1.ticketm.net/dam/e/a38/c01c9483-250c-4c4c-b7f8-bb4829ff1a38_RETINA_LANDSCAPE_16_9.jpg
