event_id,name,date,time,status,segment,genre,venue_name,venue_lat,venue_lon,price_min,price_max,price_is_estimated,day_of_week,month_name,year,url,image_url
Z698xZq2Z16v0V0UPA,& Julia,2026-04-11,15:00:00,offsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,279,334,True,Saturday,April,2026,https://www.ticketmaster.se/event/-julia-biljetter/1934936945,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z16vFOfeuV,Mette Ingvartsen - SKATEPARK,2026-04-11,15:00:00,onsale,Arts & Theatre,Dance,Dansens Hus - Stora Scen,59.33623,18.05644,491,711,True,Saturday,April,2026,https://www.ticketmaster.se/event/mette-ingvartsen-skatepark-biljetter/1220502374,https://s1.ticketm.net/dam/a/fbe/c50494b8-a4a8-4032-bce6-81dec0709fbe_CUSTOM.jpg
Z698xZq2Z1AovyZP,Bo Kaspers Orkester - Il magnifico,2026-04-11,16:00:00,onsale,Arts & Theatre,Spectacular,Göta Lejon,59.31378,18.07384,401,569,True,Saturday,April,2026,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/11079025,https://s1.ticketm.net/dam/e/502/dd7417c8-5d96-4264-a80b-046178a11502_RECOMENDATION_16_9.jpg
Z698xZq2Z16vAkOybO,Labero's Magic World,2026-04-11,18:00:00,onsale,Miscellaneous,Food & Drink,La Botanica,59.36898,18.00585,226,376,True,Saturday,April,2026,https://www.ticketmaster.se/event/laberos-magic-world-biljetter/1146839620,https://s1.ticketm.net/dam/a/f00/7a24bdb3-8f78-408b-85aa-125463437f00_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z16vQo0Eox,Svartklubben - Mat & Musik i Mörker,2026-04-11,18:00:00,onsale,Arts & Theatre,Theatre,Svartklubben,59.31209,18.08133,682,739,True,Saturday,April,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1691927462,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16vF3k9G0,MAMMA MIA! THE PARTY,2026-04-11,19:30:00,onsale,Arts & Theatre,Theatre,Tyrol,59.324127,18.096259,741,838,True,Saturday,April,2026,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1212197324,https://s1.ticketm.net/dam/e/d78/e055a3c6-df72-44c6-9c2a-adff8b7bcd78_CUSTOM.jpg
Z698xZq2Z1k-Skb4F,Bo Kaspers Orkester - Il magnifico,2026-04-11,19:30:00,onsale,Music,Rock,Göta Lejon,59.31378,18.07384,813,900,True,Saturday,April,2026,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/873198548,https://s1.ticketm.net/dam/e/9f5/189e04cc-d86d-4ec2-9802-631f2227e9f5_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z1k_y_Mo_,& Julia,2026-04-11,19:30:00,onsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,341,637,True,Saturday,April,2026,https://www.ticketmaster.se/event/-julia-biljetter/679677459,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z16v78FaC7,MAFFIA COMEDY SUPERWEEKEND med Viktor Engberg,2026-04-11,20:00:00,onsale,Arts & Theatre,Comedy,Clarion Hotel Sign,59.99333,18.89062,599,767,True,Saturday,April,2026,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-viktor-engberg-biljetter/1110209384,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
Z698xZq2Z16vr64UfE,& Julia,2026-04-12,15:00:00,onsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,472,658,True,Sunday,April,2026,https://www.ticketmaster.se/event/-julia-biljetter/1787576527,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
