event_id,name,url,venue_name,venue_address,venue_city,venue_lat,venue_lon,rating,num_reviews,price_level,opening_hours,status,segment,genre,subgenre,year,month_name,is_free,popularity_score,popularity_index
ChIJrymDbVSdX0YRQTLBtPGa8M8,Vasamuseet,https://www.vasamuseet.se/,Vasamuseet,"Galärvarvsvägen 14, 115 21 Stockholm, Sverige",Stockholm,59.3280233,18.0913964,4.8,67000,,måndag: 10:00–17:00 | tisdag: 10:00–17:00 | onsdag: 10:00–20:00 | torsdag: 10:00–17:00 | fredag: 10:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,1242.4,100.0
ChIJAUpMflidX0YRNj52SJZ6-b0,Kungliga slottet,https://www.kungligaslotten.se/vara-besoksmal/kungliga-slottet.html,Kungliga slottet,"Kungliga slottet, 107 70 Stockholm, Sverige",Stockholm,59.3268215,18.0717194,4.5,43994,,måndag: 10:00–16:00 | tisdag: 10:00–16:00 | onsdag: 10:00–16:00 | torsdag: 10:00–16:00 | fredag: 10:00–16:00 | lördag: 10:00–16:00 | söndag: 10:00–16:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,943.9,73.0
ChIJN5Ta_qqCX0YRMYVG1s-2NSw,Skansen,https://www.skansen.se/,Skansen,"Djurgårdsslätten 49-51, 115 21 Stockholm, Sverige",Stockholm,59.3263227,18.105858299999998,4.5,34525,,måndag: 10:00–16:00 | tisdag: 10:00–16:00 | onsdag: 10:00–16:00 | torsdag: 10:00–16:00 | fredag: 10:00–16:00 | lördag: 10:00–16:00 | söndag: 10:00–16:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,836.1,63.2
ChIJBf9B06qCX0YRR46XNXjwFUo,ABBA The Museum,https://www.abbathemuseum.com/,ABBA The Museum,"Djurgårdsvägen 68, 115 21 Stockholm, Sverige",Stockholm,59.325090900000006,18.0967807,4.5,20129,,måndag: 10:00–18:00 | tisdag: 10:00–18:00 | onsdag: 10:00–18:00 | torsdag: 10:00–18:00 | fredag: 10:00–18:00 | lördag: 10:00–18:00 | söndag: 10:00–18:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,638.4,45.3
ChIJhaN0M_l3X0YRpOq8uRb_RcA,Fotografiska Stockholm,https://stockholm.fotografiska.com/,Fotografiska Stockholm,"Stadsgårdshamnen 22, 116 45 Stockholm, Sverige",Stockholm,59.31796189999999,18.0848268,4.4,19513,,måndag: 10:00–23:00 | tisdag: 10:00–23:00 | onsdag: 10:00–23:00 | torsdag: 10:00–23:00 | fredag: 10:00–23:00 | lördag: 10:00–23:00 | söndag: 10:00–23:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,614.6,43.2
ChIJxagZg1OdX0YRGKnPhRyci9c,Nordiska museet,https://www.nordiskamuseet.se/,Nordiska museet,"Djurgårdsvägen 6-16, 115 93 Stockholm, Sverige",Stockholm,59.329007999999995,18.094268,4.3,11113,,måndag: 10:00–17:00 | tisdag: 10:00–17:00 | onsdag: 10:00–20:00 | torsdag: 10:00–17:00 | fredag: 10:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,453.3,28.6
ChIJPaaZwgadX0YR_XtKAvqZXw4,Naturhistoriska riksmuseet och Cosmonova,http://www.nrm.se/,Naturhistoriska riksmuseet och Cosmonova,"Frescativägen 40, 114 18 Stockholm, Sverige",Stockholm,59.3689751,18.053877999999997,4.5,8740,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–21:00 | fredag: 11:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,420.7,25.6
ChIJsUX0N7CCX0YRQAeUrKac-jU,Tekniska museet,https://www.tekniskamuseet.se/,Tekniska museet,"Museivägen 7, 115 27 Stockholm, Sverige",Stockholm,59.33244169999999,18.1188035,4.3,9266,,måndag: 09:00–21:00 | tisdag: 09:00–21:00 | onsdag: 09:00–21:00 | torsdag: 09:00–21:00 | fredag: 09:00–21:00 | lördag: 09:00–21:00 | söndag: 09:00–21:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,413.9,25.0
ChIJ272T01mdX0YRTHM5RptBXaY,Nationalmuseum,https://www.nationalmuseum.se/,Nationalmuseum,"Södra Blasieholmshamnen 2, 111 48 Stockholm, Sverige",Stockholm,59.32853809999999,18.0781954,4.6,7923,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–20:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,True,409.5,24.6
ChIJ6d_NxlGdX0YR1VYMTmdoPl0,Historiska museet,https://historiska.se/,Historiska museet,"Narvavägen 17, 114 84 Stockholm, Sverige",Stockholm,59.3346252,18.0908497,4.5,6918,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–20:00 | torsdag: 11:00–17:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,True,374.3,21.4
ChIJnd3epESdX0YRo-AGQwgCTYk,The Viking Museum,https://thevikingmuseum.com/?utm_source=google,The Viking Museum,"Djurgårdsvägen 15, 115 21 Stockholm, Sverige",Stockholm,59.326643,18.095179599999998,4.3,7285,,måndag: 11:00–17:00 | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–17:00 | fredag: 11:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,367.0,20.8
