name,address,lat,lon,website,rating,num_reviews,opening_hours,is_free,peak_day,peak_hour,peak_value,popular_times_raw
ABBA The Museum,"Djurgårdsvägen 68, 115 21 Stockholm, Sverige",59.325090900000006,18.0967807,https://www.abbathemuseum.com/,4.5,20086,måndag: 10:00–18:00 | tisdag: 10:00–18:00 | onsdag: 10:00–18:00 | torsdag: 10:00–18:00 | fredag: 10:00–18:00 | lördag: 10:00–18:00 | söndag: 10:00–18:00,False,,,0,{}
Avicii Experience,"Sergels Torg 2, 111 57 Stockholm, Sverige",59.333066,18.0642145,http://www.aviciiexperience.com/,4.8,1222,måndag: 10:00–18:00 | tisdag: 10:00–18:00 | onsdag: 10:00–18:00 | torsdag: 10:00–18:00 | fredag: 10:00–18:00 | lördag: 10:00–18:00 | söndag: 10:00–18:00,False,,,0,{}
Fotografiska Stockholm,"Stadsgårdshamnen 22, 116 45 Stockholm, Sverige",59.31796189999999,18.0848268,https://stockholm.fotografiska.com/,4.4,19504,måndag: 10:00–23:00 | tisdag: 10:00–23:00 | onsdag: 10:00–23:00 | torsdag: 10:00–23:00 | fredag: 10:00–23:00 | lördag: 10:00–23:00 | söndag: 10:00–23:00,False,,,0,{}
Hallwylska museet,"Hamngatan 4, 111 47 Stockholm, Sverige",59.3331408,18.0745424,http://www.hallwylskamuseet.se/,4.5,3084,måndag: Stängt | tisdag: 12:00–16:00 | onsdag: 12:00–19:00 | torsdag: 12:00–16:00 | fredag: 12:00–16:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,True,,,0,{}
Historiska museet,"Narvavägen 17, 114 84 Stockholm, Sverige",59.3346252,18.0908497,https://historiska.se/,4.5,6912,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–20:00 | torsdag: 11:00–17:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,True,,,0,{}
Kungliga slottet,"Kungliga slottet, 107 70 Stockholm, Sverige",59.3268215,18.0717194,https://www.kungligaslotten.se/vara-besoksmal/kungliga-slottet.html,4.5,43954,måndag: 10:00–16:00 | tisdag: 10:00–16:00 | onsdag: 10:00–16:00 | torsdag: 10:00–16:00 | fredag: 10:00–16:00 | lördag: 10:00–16:00 | söndag: 10:00–16:00,False,,,0,{}
Medelhavsmuseet,"Fredsgatan 2, 111 52 Stockholm, Sverige",59.32939119999999,18.067367,http://www.medelhavsmuseet.se/,4.4,2867,måndag: Stängt | tisdag: 11:00–20:00 | onsdag: 11:00–20:00 | torsdag: 11:00–20:00 | fredag: 11:00–20:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,True,,,0,{}
Moderna Museet,"Exercisplan 4, 111 49 Stockholm, Sverige",59.3260466,18.0846879,https://www.modernamuseet.se/stockholm/sv/,4.3,2225,måndag: Stängt | tisdag: 10:00–20:00 | onsdag: 10:00–18:00 | torsdag: 10:00–18:00 | fredag: 10:00–20:00 | lördag: 10:00–18:00 | söndag: 10:00–18:00,True,Saturday,14:00,100,"{'Monday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Tuesday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 44, 54, 55, 50, 43, 37, 37, 35, 30, 0, 0, 0, 0], 'Wednesday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 42, 47, 44, 39, 33, 26, 0, 0, 0, 0, 0, 0], 'Thursday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 31, 41, 43, 43, 39, 32, 20, 0, 0, 0, 0, 0, 0], 'Friday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 46, 54, 54, 55, 60, 74, 85, 77, 0, 0, 0, 0], 'Saturday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 43, 69, 88, 100, 94, 76, 51, 0, 0, 0, 0, 0, 0], 'Sunday': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 39, 56, 69, 75, 66, 50, 28, 0, 0, 0, 0, 0, 0]}"
Nationalmuseum,"Södra Blasieholmshamnen 2, 111 48 Stockholm, Sverige",59.32853809999999,18.0781954,https://www.nationalmuseum.se/,4.6,7903,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–20:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,True,,,0,{}
Naturhistoriska riksmuseet och Cosmonova,"Frescativägen 40, 114 18 Stockholm, Sverige",59.3689751,18.053878,http://www.nrm.se/,4.5,8729,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–21:00 | fredag: 11:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,False,,,0,{}
Nordiska museet,"Djurgårdsvägen 6-16, 115 93 Stockholm, Sverige",59.329008,18.094268,https://www.nordiskamuseet.se/,4.3,11096,måndag: 10:00–17:00 | tisdag: 10:00–17:00 | onsdag: 10:00–20:00 | torsdag: 10:00–17:00 | fredag: 10:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,False,,,0,{}
Paradox Museum Stockholm,"Sergels Torg 20, 111 57 Stockholm, Sverige",59.3344074,18.0633072,https://paradoxmuseum.com/stockholm/?utm_source=google&utm_medium=localcards&utm_campaign=305462_arn,4.2,7202,måndag: 10:00–19:00 | tisdag: 10:00–19:00 | onsdag: 10:00–19:00 | torsdag: 10:00–19:00 | fredag: 10:00–21:00 | lördag: 10:00–21:00 | söndag: 10:00–19:00,False,,,0,{}
Skansen,"Djurgårdsslätten 49-51, 115 21 Stockholm, Sverige",59.3263227,18.1058583,https://www.skansen.se/,4.5,34488,måndag: 10:00–16:00 | tisdag: 10:00–16:00 | onsdag: 10:00–16:00 | torsdag: 10:00–16:00 | fredag: 10:00–16:00 | lördag: 10:00–16:00 | söndag: 10:00–16:00,False,,,0,{}
Spårvägsmuseet,"Gasverkstorget 1, 115 42 Stockholm, Sverige",59.3579998,18.0917627,http://sparvagsmuseet.se/,4.4,1131,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–21:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,True,,,0,{}
